"Year","Ceremony","Category","Nominee","Film","Winner"
"2022","Oscars","Best Original Song","Hold My Hand - BloodPop&Lady Gaga(music & lyrics)","Top Gun: Maverick","Nominee"
"2021","BAFTA","Best Sound","Ron Bartlett,Theo Green,Doug Hemphill,Mark ManginiandMac Ruth","Dune","Yes"
"2021","BAFTA","Best Sound","Tim Cavagin, Dan Morgan, Colin Nicolson andJulian Slater","Last Night in Soho","Nominee"
"2021","BAFTA","Best Sound","James Harrison,Simon Hayes,Paul Massey,Oliver TarneyandMark Taylor","No Time to Die","Nominee"
"2021","BAFTA","Best Sound","Erik Aadahl, Michael Barosky,Brandon ProctorandEthan Van der Ryn","A Quiet Place Part II","Nominee"
"2021","BAFTA","Best Sound","Brian Chumney,Tod A. Maitland,Andy NelsonandGary Rydstrom","West Side Story","Nominee"
"2021","Critics Choice","Best Score","Hans Zimmer","Dune","Yes"
"2021","Critics Choice","Best Score","Nicholas Britell","Dont Look Up","Nominee"
"2021","Critics Choice","Best Score","Jonny Greenwood","The Power of the Dog","Nominee"
"2021","Critics Choice","Best Score","Nathan Johnson","Nightmare Alley","Nominee"
"2021","Critics Choice","Best Song","No Time to Die - Written byBillie Eilish&Finneas OConnell; Performed by Eilish","No Time to Die","Yes"
"2021","Critics Choice","Best Song","Be Alive - Written byBeyoncé&DIXSON; Performed by Beyoncé","King Richard","Nominee"
"2021","Critics Choice","Best Song","Dos Oruguitas - Written byLin-Manuel Miranda; Performed bySebastián Yatra","Encanto","Nominee"
"2021","Critics Choice","Best Song","Guns Go Bang - Written byJeymes Samuel,Kid Cudi&Jay-Z; Performed by Cudi & Jay-Z.","The Harder They Fall","Nominee"
"2021","Critics Choice","Best Song","Just Look Up - Written byAriana Grande,Taura Stinson,Kid Cudi&Nicholas Britell; Performed by Grande & Cudi","Dont Look Up","Nominee"
"2021","Golden Globes","Best Original Score","Hans Zimmer","Dune","Yes"
"2021","Golden Globes","Best Original Score","Germaine Franco","Encanto","Nominee"
"2021","Golden Globes","Best Original Score","Alexandre Desplat","The French Dispatch","Nominee"
"2021","Golden Globes","Best Original Score","Alberto Iglesias","Parallel Mothers","Nominee"
"2021","Golden Globes","Best Original Score","Jonny Greenwood","The Power of the Dog","Nominee"
"2021","Golden Globes","Best Original Song","No Time to Die - Billie Eilish&Finneas OConnell","No Time to Die","Yes"
"2021","Golden Globes","Best Original Song","Down to Joy - Van Morrison","Belfast","Nominee"
"2021","Golden Globes","Best Original Song","Dos Oruguitas - Lin-Manuel Miranda","Encanto","Nominee"
"2021","Golden Globes","Best Original Song","Be Alive - Beyoncé&Darius Scott","King Richard","Nominee"
"2021","Golden Globes","Best Original Song","Here I Am (Singing My Way Home) - Jennifer Hudson,Jamie Hartman&Carole King","Respect","Nominee"
"2021","Oscars","Best Original Score","Hans Zimmer","Dune","Yes"
"2021","Oscars","Best Original Score","Nicholas Britell","Dont Look Up","Nominee"
