film_vote_count,film_popularity,film_budget,film_revenue,film_rating,days_since_film_release,film_runtime_min,film_is_action,film_is_adventure,film_is_animation,film_is_comedy,film_is_crime,film_is_documentary,film_is_drama,film_is_family,film_is_fantasy,film_is_history,film_is_horror,film_is_music,film_is_mystery,film_is_romance,film_is_science_fiction,film_is_tv_movie,film_is_thriller,film_is_war,film_is_western,days_since_album_release,n_tracks,composer_album_count,ambient_experimental,classical_orchestral,electronic,hip_hop_rnb,pop,rock,world_folk,us_score_nominee_count,us_song_nominee_count,bafta_nominee,log_lfm_album_listeners
3674,16.573,24000000,137743924,6.7,1480,114,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,24.0,25,0,0,0,0,0,0,0,0,0,0,2.6390573296152584
3605,14.0837,78000000,65267446,7.367,1136,189,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1388.0,48.0,3,0,0,0,0,0,0,0,3,0,0,4.709530201312334
7453,12.527,65000000,0,7.67,1278,100,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,20.0,3,0,0,0,0,0,0,0,0,0,0,9.263407092912876
6464,11.3881,40000000,15000000,7.035,1165,140,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,1.0,4,0,0,0,0,0,0,0,0,0,0,7.429520842786462
7576,10.8475,25000000,139200000,7.726,1409,140,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,48.0,3,0,0,1,0,0,0,0,1,1,0,2.4849066497880004
8309,10.1771,250000000,760900000,6.385,1305,119,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,28.0,2,0,1,0,0,0,0,0,0,0,0,3.295836866004329
4943,9.7658,200000000,407200000,6.633,1396,142,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1394.0,39.0,17,0,1,0,0,0,0,0,0,0,0,9.408699306467762
5609,9.5303,16000000,161441914,7.541,1325,103,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,16.0,7,0,0,0,0,0,0,0,0,0,0,1.3862943611198906
3790,8.8688,1000000,15113105,6.725,1416,106,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,21.0,1,0,0,0,0,0,0,0,0,0,0,3.1354942159291497
2956,7.7041,75000000,18500000,7.048,1461,92,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,28.0,13,0,0,0,0,0,0,0,0,0,0,6.135564891081739
2430,7.2401,1000000,10139416,7.2,1233,102,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1226.0,19.0,10,0,0,0,0,0,0,0,0,0,0,1.9459101490553128
2435,7.189,80000000,250162278,7.531,1416,100,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1402.0,33.0,25,0,0,0,0,0,0,0,0,0,0,4.060443010546419
3910,7.1304,85000000,940203765,7.28,1312,87,False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,1303.0,32.0,8,0,0,0,0,0,0,0,0,0,0,9.4678467019179
4039,7.0321,90000000,137307235,6.416,1452,127,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,25.0,6,0,0,0,0,0,0,0,0,0,0,3.4011973816621555
4755,6.9217,116000000,0,7.002,1422,104,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,26.0,20,0,0,0,0,0,0,0,0,0,0,3.5263605246161616
2293,6.6576,50000000,97300000,7.627,1233,135,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,1233.0,43.0,5,0,0,0,0,0,0,0,0,0,0,3.258096538021482
3440,5.9497,146000000,67319703,6.3,1459,131,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,23.0,3,0,0,0,0,0,0,0,0,0,0,1.791759469228055
